"Âge","taille_commune","rev_mens_net","dist_centreco","source_rev","dip_sup_brev","niv_dipl","depenses_mens","pref_emplettes","paylignmonth","restpermonth","binarachalist","priplafcompul","binarpayelec","elecpaytype","paiem_elec_mois","nbapppayelec","montantpertransac","plaisirpermonth","revenus","Sexe","achat_hors_liste","utilisateur_elec","diplom","niv_dip","payelecpermonth","CB","pay_mob","QR","E_wallet","taille_ville","taille_ville2"
24,"Grande ville (entre 50 000 et 199 999 habitants)","Plus de 1500€",5,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",1200,"En ligne et en physique",50,"10","Non",200,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",38,2,15,500,1891,0,0,1,1,4,"Entre 31 et 45",1,1,0,0,1500000,1500
23,"Petite ville (entre 5 000 et 19 999 habitants)","Plus de 1500€",20,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",400,"En ligne et en physique",4,"8","Non",15,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",55,1,15,250,1789,1,0,1,1,4,"45 et +",1,1,0,0,12500,12.5
27,"Commune de moins de 5000 habitants","Plus de 1500€",5,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",1200,"En ligne et en physique",10,"1","Oui",800,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …), QR code",24,3,10,70,1988,0,1,1,1,4,"Entre 16 et 30",1,1,1,1,2500,2.5
24,"Ville moyenne (entre 20 000 et 49 999 habitants)","Plus de 1500€",6,"Revenus du travail","Oui","Diplôme de niveau 4 (Baccalauréat)",900,"En ligne et en physique",2,"4","Oui",100,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",17,2,100,100,2478,1,1,1,1,2,"Entre 16 et 30",1,1,0,0,35000,35
23,"Grande ville (entre 50 000 et 199 999 habitants)","Plus de 1500€",10,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",1800,"En ligne et en physique",15,"10","Non",300,1,"Paiement Mobile (ApplePay, GooglePay, …)",32,1,15,200,1847,0,0,1,1,4,"Entre 31 et 45",0,1,0,0,1500000,1500
42,"Petite ville (entre 5 000 et 19 999 habitants)","Plus de 1500€",15,"Revenus du travail","Oui","Diplôme de niveau 7 (BAC+5)",1950,"En ligne",9,"1","Oui",150,1,"paypal",15,1,20,50,2350,1,1,1,1,5,"Entre 1 et 15",0,0,0,1,12500,12.5
30,"Ville moyenne (entre 20 000 et 49 999 habitants)","Plus de 1500€",15,"Revenus du travail","Oui","Diplôme de niveau 7 (BAC+5)",1700,"En physique, dans un magasin",1,"10","Non",100,1,"Carte Bancaire, sans contact, E-wallet (cagnottes type PayPal, néobanques, …)",18,0.1,50,100,2373,1,0,1,1,5,"Entre 16 et 30",1,0,0,1,35000,35
21,"Grande ville (entre 50 000 et 199 999 habitants)","Entre 501 et 1000€",15,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",400,"En ligne et en physique",2,"6","Non",100,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",29,3,3,50,844,1,0,1,1,4,"Entre 16 et 30",1,1,0,0,1500000,1500
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",6,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 6 (BAC+3/4)",170,"En ligne et en physique",2,"4","Oui",40,1,"Carte Bancaire, sans contact, E-wallet (cagnottes type PayPal, néobanques, …)",2,2,20,60,414,0,1,1,1,4,"Entre 1 et 15",1,0,0,1,35000,35
20,"Commune de moins de 5000 habitants","Entre 0 et 500€",20,"Revenus de redistribution (bourses, allocations, …)","Oui","Diplôme de niveau 6 (BAC+3/4)",350,"En physique, dans un magasin",30,"6","Non",9,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), QR code",20,4,7,60,254,0,0,1,1,4,"Entre 16 et 30",1,1,1,0,2500,2.5
